id,nombre_carretera,tramo,limite_tramo,sentido,limite,velocidad,fecha,matricula,conductor
A3/-92/20111217082632000,A3,92,100,descending,100,115,2011-12-17,9117UEE,98595100B
M40/+16/20130830083807000,M40,16,80,ascending,80,126,2013-08-30,4519AIU,46197994X
A3/+204/20130710053551000,A3,204,100,ascending,100,112,2013-07-10,5862IOU,36071957E
M40/-55/20120127224711000,M40,55,80,descending,80,108,2012-01-27,3242OEU,20304333W
A1/-232/20131217114208000,A1,232,100,descending,100,115,2013-12-17,1556IAI,87767956W
M40/+40/20120811132250000,M40,40,80,ascending,80,72,2012-08-11,9519OEE,55754166G
M45/-28/20130921070133000,M45,28,80,descending,80,100,2013-09-21,7607OAA,91988623P
A4/+54/20120416075631000,A4,54,100,ascending,100,131,2012-04-16,5502UIE,58444159D
M30/-12/20110211100226000,M30,12,50,descending,50,67,2011-02-11,3667IIE,18612682R
M40/+42/20090901230506000,M40,42,80,ascending,80,93,2009-09-01,4450AAE,45191051F
M30/+14/20110414024613000,M30,14,50,ascending,50,60,2011-04-14,1536UII,74086301N
A4/-147/20090611160153000,A4,147,100,descending,100,112,2009-06-11,4785UUA,36259246E
A2/+275/20110129164516000,A2,275,100,ascending,100,113,2011-01-29,8173OAU,67121154R
M30/+11/20091006021630000,M30,11,50,ascending,50,59,2009-10-06,9117UEE,98595100B
M30/-11/20091231112023000,M30,11,50,descending,50,65,2009-12-31,9861AUO,76150280V
M45/-20/20100601132444000,M45,20,80,descending,80,93,2010-06-01,6306III,56193398M
M50/-58/20100506102741000,M50,58,100,descending,100,107,2010-05-06,9534OIE,70106310X
M30/-11/20110131041603000,M30,11,50,descending,50,62,2011-01-31,2339OOI,07595709M
A4/-223/20110917145354000,A4,223,100,descending,100,114,2011-09-17,7919AEO,21987229B
A4/+54/20110606133704000,A4,54,100,ascending,100,118,2011-06-06,2347OUI,31414734T
A5/-211/20110208043114000,A5,211,100,descending,100,115,2011-02-08,9037UOU,95323852F
M45/+22/20110402165337000,M45,22,80,ascending,80,85,2011-04-02,2955AUA,63050842E
M40/+29/20101123165037000,M40,29,80,ascending,80,95,2010-11-23,5119AUI,19502956Z
A5/-100/20090727003253000,A5,100,100,descending,100,110,2009-07-27,7283OOE,99181271G
A2/-147/20090910124736000,A2,147,100,descending,100,114,2009-09-10,9599EAA,01362850P
A2/+157/20091230143148000,A2,157,100,ascending,100,117,2009-12-30,3451OIO,25840054Z
A3/+17/20111210055416000,A3,17,100,ascending,100,111,2011-12-10,1480EUA,17817924P
M40/+28/20100318164849000,M40,28,80,ascending,80,134,2010-03-18,7163UUU,84916986C
M40/-15/20090519211146000,M40,15,80,descending,80,92,2009-05-19,4166UOU,35235590G
M40/-43/20110209021801000,M40,43,80,descending,80,99,2011-02-09,0062OEA,37616247T
A6/+171/20100207001531000,A6,171,100,ascending,100,111,2010-02-07,6279OUE,22674835D
A6/+237/20110801013449000,A6,237,100,ascending,100,111,2011-08-01,2583UIO,99181271G
A5/-271/20100905053451000,A5,271,100,descending,100,114,2010-09-05,2261EOI,31211842Z
A1/+122/20100811184410860,A1,122,100,ascending,100,117,2010-08-11,7493AUE,50774649X
A5/+53/20091107041740470,A5,53,100,ascending,100,117,2009-11-07,0438IAO,53675847B
A1/-160/20110817113439430,A1,160,100,descending,100,110,2011-08-17,6560AII,78135349W
A1/+162/20110414154033180,A1,162,100,ascending,100,106,2011-04-14,0122IIA,75939906R
A1/+138/20110713145350940,A1,138,100,ascending,100,123,2011-07-13,2973AAI,63417788A
A4/-270/20110705061738120,A4,270,100,descending,100,117,2011-07-05,5999AAI,11810752E
A4/+91/20101010062537930,A4,91,100,ascending,100,116,2010-10-10,0861EUI,25819562S
M30/-21/20110406063728530,M30,21,50,descending,50,63,2011-04-06,6205AIA,69049869M
M40/+51/20100823115452620,M40,51,80,ascending,80,99,2010-08-23,0583EAA,58793740J
A1/-271/20110121185436900,A1,271,100,descending,100,115,2011-01-21,8448OEU,56760451Q
A2/+115/20110301214331840,A2,115,100,ascending,100,119,2011-03-01,6279OUE,22674835D
A4/+260/20101028195416640,A4,260,100,ascending,100,110,2010-10-28,5716IEO,81542499R
A6/+38/20091022011203010,A6,38,100,ascending,100,126,2009-10-22,4483AIO,26322160V
M50/-61/20100217153202240,M50,61,100,descending,100,119,2010-02-17,5303EIO,21582390H
A2/-230/20110118065900010,A2,230,100,descending,100,112,2011-01-18,6829IOA,67455235F
A1/-298/20101008223028900,A1,298,100,descending,100,115,2010-10-08,5831EEE,40977364N
M45/-29/20090909141251670,M45,29,80,descending,80,91,2009-09-09,0062OEA,37616247T
A5/+274/20110112112159310,A5,274,100,ascending,100,128,2011-01-12,4519AIU,46197994X
A4/-203/20100324031105260,A4,203,100,descending,100,114,2010-03-24,3929OOO,58444159D
M40/-15/20110922064606940,M40,15,80,descending,80,93,2011-09-22,1306OEE,06729275G
M50/-58/20090627093009710,M50,58,100,descending,100,115,2009-06-27,0438IAO,53675847B
A5/+236/20100203052046010,A5,236,100,ascending,100,105,2010-02-03,3434AOI,76113108J
M45/+37/20110921115227530,M45,37,80,ascending,80,91,2011-09-21,6797EIU,52223220H
A3/-206/20120114040201000,A3,206,100,descending,100,111,2012-01-14,6891AIU,57722756R
A4/+91/20130326115937000,A4,91,100,ascending,100,114,2013-03-26,3451OIO,25840054Z
A4/-270/20130516202841000,A4,270,100,descending,100,118,2013-05-16,3797UOE,53018488S
A6/+171/20111020063929000,A6,171,100,ascending,100,128,2011-10-20,5991OAE,58576842M
A4/+91/20131210080320000,A4,91,100,ascending,100,112,2013-12-10,6292EIA,47285810H
A6/+237/20130220045428000,A6,237,100,ascending,100,126,2013-02-20,7494UEU,33585461X
A3/+155/20110707190402000,A3,155,100,ascending,100,118,2011-07-07,6797EIU,52223220H
A1/+162/20110921194901000,A1,162,100,ascending,100,111,2011-09-21,7608OAU,94229966R
M40/-60/20120717161324000,M40,60,80,descending,80,87,2012-07-17,3422AEU,65871451A
A1/+217/20160602103816000,A1,217,100,ascending,100,145,2016-06-02,8686IUU,95875344M
A3/+17/20170613203005000,A3,17,100,ascending,100,118,2017-06-13,5999AAI,11810752E
A3/-206/20170718160610000,A3,206,100,descending,100,92,2017-07-18,0398EUI,45191051F
M30/-12/20170905151427000,M30,12,50,descending,50,86,2017-09-05,8953EIU,32197349V
M40/+29/20100506171715000,M40,29,80,ascending,80,100,2010-05-06,1858UEA,65871451A
M40/-49/20090913113623000,M40,49,80,descending,80,94,2009-09-13,6493OEA,65572592Y
A5/-137/20101101152846000,A5,137,100,descending,100,115,2010-11-01,5999AAI,11810752E
M50/+66/20090818042436000,M50,66,100,ascending,100,110,2009-08-18,7283OOE,99181271G
A1/-298/20110620190838000,A1,298,100,descending,100,116,2011-06-20,6118UAA,29480068W
A1/-268/20100625131038000,A1,268,100,descending,100,103,2010-06-25,5823AEO,47614918L
A3/+241/20100110174952000,A3,241,100,ascending,100,113,2010-01-10,6055EOO,60260601A
M50/+49/20110411155055000,M50,49,100,ascending,100,117,2011-04-11,9507IIA,88900195C
A4/-188/20111107011747000,A4,188,100,descending,100,111,2011-11-07,4519AIU,46197994X
A4/-96/20111107022454000,A4,96,100,descending,100,110,2011-11-07,4519AIU,46197994X
A6/-254/20090705124836000,A6,254,100,descending,100,118,2009-07-05,8111EAA,12035677F
M45/-26/20170914150149000,M45,26,80,descending,80,99,2017-09-14,1369OAU,31414734T
M30/-28/20171207040816000,M30,28,50,descending,50,60,2017-12-07,3422AEU,65871451A
M45/-28/20080804125621000,M45,28,80,descending,80,97,2008-08-04,8111EAA,12035677F
M30/+32/20090508151821000,M30,32,50,ascending,50,52,2009-05-08,2458AEU,46392720H
M50/+15/20081003022628000,M50,15,100,ascending,100,112,2008-10-03,4584IEO,86515357Y
A5/-137/20090716203901000,A5,137,100,descending,100,117,2009-07-16,1536UII,74086301N
A4/+260/20080108073815000,A4,260,100,ascending,100,112,2008-01-08,1405AOU,92531445F
M30/-26/20081119113608000,M30,26,50,descending,50,61,2008-11-19,3422AEU,65871451A
M40/-15/20171231215345000,M40,15,80,descending,80,91,2017-12-31,6118UAA,29480068W
A6/-60/20091109211836000,A6,60,100,descending,100,112,2009-11-09,5023EII,92366576W
A5/-271/20090827130227000,A5,271,100,descending,100,117,2009-08-27,5119AUI,19502956Z
M50/+15/20080217081041000,M50,15,100,ascending,100,112,2008-02-17,0122IIA,75939906R
A6/-298/20080319170422000,A6,298,100,descending,100,110,2008-03-19,3043OOI,30173036A
M30/-16/20090814013039000,M30,16,50,descending,50,62,2009-08-14,5119AUI,19502956Z
A5/-211/20090903191850000,A5,211,100,descending,100,110,2009-09-03,9454IIE,76055771S
A5/-54/20171227191112000,A5,54,100,descending,100,115,2017-12-27,1295IIA,64997574B
A6/+237/20090530203814000,A6,237,100,ascending,100,92,2009-05-30,0473AEO,94229966R
A5/-137/20171112190915000,A5,137,100,descending,100,130,2017-11-12,9534OIE,70106310X
A2/+184/20171129231312000,A2,184,100,ascending,100,116,2017-11-29,7493AUE,50774649X
A4/-270/20120427212040000,A4,270,100,descending,100,114,2012-04-27,5806EUE,48192930H
A2/-296/20130920020043000,A2,296,100,descending,100,100,2013-09-20,5938AOI,23939454L
A5/-271/20121111142758000,A5,271,100,descending,100,99,2012-11-11,8140AOE,76202995Q
A2/-230/20130209113501000,A2,230,100,descending,100,117,2013-02-09,7757IAI,41938714P
A4/-147/20110910163813000,A4,147,100,descending,100,120,2011-09-10,5329UEU,75584686Q
M30/-12/20131028173748000,M30,12,50,descending,50,61,2013-10-28,6320UOU,87457684T
A3/-127/20131107133435000,A3,127,100,descending,100,118,2013-11-07,5526UOU,42038947F
M50/-61/20110728013328000,M50,61,100,descending,100,118,2011-07-28,0206OOE,25073532J
M50/+11/20111224172838000,M50,11,100,ascending,100,113,2011-12-24,3195EOU,60908146Y
A2/+184/20130401133952000,A2,184,100,ascending,100,113,2013-04-01,7608OAU,94229966R
A6/-11/20120319094116000,A6,11,100,descending,100,112,2012-03-19,1329EUA,08375827D
A3/+241/20110727232450000,A3,241,100,ascending,100,119,2011-07-27,5831EEE,40977364N
M50/+49/20110412155055000,M50,49,100,ascending,100,117,2011-04-12,9507IIA,88900195C
M50/+66/20110412162159000,M50,66,100,ascending,100,112,2011-04-12,9507IIA,88900195C
M45/+19/20111229031820000,M45,19,80,ascending,80,92,2011-12-29,4702OIA,73010468G
A5/+70/20111229031200000,A5,70,100,ascending,100,115,2011-12-29,4237EIO,62793298D
A2/-296/20101213140504000,A2,296,100,descending,100,100,2010-12-13,6648AEO,40648481Y
M30/-25/20110428050713000,M30,25,50,descending,50,63,2011-04-28,5938AOI,23939454L
A4/+54/20110219015151000,A4,54,100,ascending,100,115,2011-02-19,7607OAA,91988623P
A6/+234/20091027144313000,A6,234,100,ascending,100,132,2009-10-27,7608OAU,94229966R
A4/-277/20110420105050000,A4,277,100,descending,100,117,2011-04-20,4734UAO,59070682N
M30/-12/20110428052354000,M30,12,50,descending,50,61,2011-04-28,5938AOI,23939454L
A5/+95/20100301034141000,A5,95,100,ascending,100,110,2010-03-01,0398EUI,45191051F
A1/+162/20111009074647000,A1,162,100,ascending,100,116,2011-10-09,6118UAA,29480068W
M40/+56/20100927092908000,M40,56,80,ascending,80,95,2010-09-27,1943OAO,98277257M
A6/+237/20111001153401000,A6,237,100,ascending,100,128,2011-10-01,0062OEA,37616247T
A4/-147/20100222231719000,A4,147,100,descending,100,117,2010-02-22,3195EOU,60908146Y
M45/-10/20111202201335000,M45,10,80,descending,80,94,2011-12-02,4450AAE,45191051F
A3/-10/20101106201613000,A3,10,100,descending,100,110,2010-11-06,8489EAU,33254360V
A1/+162/20100416123543000,A1,162,100,ascending,100,111,2010-04-16,9507AAI,45568849F
M40/+16/20110615121535000,M40,16,80,ascending,80,93,2011-06-15,6055EOO,60260601A
M40/+42/20110916142905000,M40,42,80,ascending,80,98,2011-09-16,8111EAA,12035677F
A6/-244/20110924003054000,A6,244,100,descending,100,115,2011-09-24,1130IOA,08914907S
M30/-21/20090525010004000,M30,21,50,descending,50,67,2009-05-25,5338IEI,80551722H
A5/-54/20111006105739000,A5,54,100,descending,100,111,2011-10-06,5387EAA,02626808R
M40/-15/20100708043002000,M40,15,80,descending,80,85,2010-07-08,3797UOE,53018488S
A6/-11/20111016065251000,A6,11,100,descending,100,118,2011-10-16,8419EIE,57722756R
A4/+50/20111206045136000,A4,50,100,ascending,100,117,2011-12-06,6758UOE,28786879X
A6/-254/20100629174626000,A6,254,100,descending,100,115,2010-06-29,7919AEO,21987229B
M45/+33/20100815010142000,M45,33,80,ascending,80,92,2010-08-15,3451OIO,25840054Z
A4/+54/20101230010441000,A4,54,100,ascending,100,117,2010-12-30,0206OOE,25073532J
M45/-20/20100817074323000,M45,20,80,descending,80,93,2010-08-17,1103EEA,07471244Q
M30/+10/20100117174439000,M30,10,50,ascending,50,70,2010-01-17,6061IUO,43287231N
A5/+95/20110422115423000,A5,95,100,ascending,100,113,2011-04-22,1103EEA,07471244Q
A1/-268/20100707054101000,A1,268,100,descending,100,118,2010-07-07,3422AEU,65871451A
M30/+14/20091007090612720,M30,14,50,ascending,50,69,2009-10-07,8533AOE,80498155H
A2/+75/20110411071725280,A2,75,100,ascending,100,117,2011-04-11,8828OIA,63709185J
M40/+30/20100519204956210,M40,30,80,ascending,80,70,2010-05-19,8111EAA,12035677F
A4/-96/20110217165100530,A4,96,100,descending,100,111,2011-02-17,7121UAU,38930269D
M30/-12/20120122231718410,M30,12,50,descending,50,42,2012-01-22,2973AAI,63417788A
M45/+22/20101001063939010,M45,22,80,ascending,80,101,2010-10-01,2970EUI,07836519M
A5/+72/20090603200333510,A5,72,100,ascending,100,114,2009-06-03,9507AAI,45568849F
M30/-12/20100606063203390,M30,12,50,descending,50,57,2010-06-06,2543OUU,19322800V
M40/+30/20111129192210440,M40,30,80,ascending,80,77,2011-11-29,3647AEO,44338136R
A4/+132/20100710095054290,A4,132,100,ascending,100,111,2010-07-10,4333EUU,72449035R
M45/+22/20110813015640450,M45,22,80,ascending,80,98,2011-08-13,9707OOI,12035677F
M40/-49/20100826023514640,M40,49,80,descending,80,95,2010-08-26,3722EAE,37794073J
A3/+241/20110412041034120,A3,241,100,ascending,100,118,2011-04-12,3523OOE,11148859T
M30/+14/20101008053649610,M30,14,50,ascending,50,61,2010-10-08,7789UAO,98595100B
A1/+138/20090709182147550,A1,138,100,ascending,100,112,2009-07-09,3797UOE,53018488S
M45/+15/20111211034239030,M45,15,80,ascending,80,98,2011-12-11,5944EOE,22117400W
A3/-244/20100604172451010,A3,244,100,descending,100,115,2010-06-04,1497IUA,58161619R
M40/-15/20090726030857280,M40,15,80,descending,80,95,2009-07-26,3722EAE,37794073J
M40/-55/20090925222054790,M40,55,80,descending,80,97,2009-09-25,0431UIE,75109144E
A4/-233/20110502170640400,A4,233,100,descending,100,118,2011-05-02,9834EUO,38423370F
M50/-15/20111112115902730,M50,15,100,descending,100,95,2011-11-12,9534OIE,70106310X
A5/-100/20131110104841000,A5,100,100,descending,100,110,2013-11-10,5502UIE,58444159D
A2/-296/20131107175058000,A2,296,100,descending,100,114,2013-11-07,3043OOI,30173036A
A5/-211/20120620044631000,A5,211,100,descending,100,113,2012-06-20,6560AII,78135349W
M50/-61/20121207033102000,M50,61,100,descending,100,119,2012-12-07,6523AIO,89897064T
M45/+33/20111029121643000,M45,33,80,ascending,80,97,2011-10-29,5700IIE,15928484H
A5/-137/20121118191849000,A5,137,100,descending,100,122,2012-11-18,7121UAU,38930269D
A2/+157/20130512215557000,A2,157,100,ascending,100,118,2013-05-12,4785UUA,36259246E
M50/+11/20120929114343000,M50,11,100,ascending,100,113,2012-09-29,1717III,65572592Y
M50/-80/20130310152930000,M50,80,100,descending,100,121,2013-03-10,3732IUO,97201505D
A3/-252/20120915104620000,A3,252,100,descending,100,114,2012-09-15,6864AIU,02055702P
M30/+14/20130915043138000,M30,14,50,ascending,50,94,2013-09-15,4166UOU,35235590G
A6/-266/20110516174337000,A6,266,100,descending,100,118,2011-05-16,9507IIA,88900195C
A4/-188/20111210154549000,A4,188,100,descending,100,130,2011-12-10,3797UOE,53018488S
A5/-137/20170807030450000,A5,137,100,descending,100,117,2017-08-07,5853OII,80551722H
A1/+154/20160120034702000,A1,154,100,ascending,100,112,2016-01-20,8472OIE,13633650D
M40/-15/20170506235757000,M40,15,80,descending,80,76,2017-05-06,9707OOI,12035677F
M45/+37/20170411225327000,M45,37,80,ascending,80,61,2017-04-11,6818EAU,67245027L
M30/-23/20080113235245000,M30,23,50,descending,50,68,2008-01-13,8686IUU,95875344M
A5/+53/20160107053912000,A5,53,100,ascending,100,106,2016-01-07,5938AOI,23939454L
M45/+15/20161111192106000,M45,15,80,ascending,80,85,2016-11-11,4785UUA,36259246E
A6/-266/20151014181815000,A6,266,100,descending,100,116,2015-10-14,9038OUI,31414734T
A5/-211/20151123070121000,A5,211,100,descending,100,100,2015-11-23,1286OEO,97976946M
M30/-30/20150226213547000,M30,30,50,descending,50,65,2015-02-26,7250EOE,65151191B
M45/+28/20130930053541000,M45,28,80,ascending,80,81,2013-09-30,3043OOI,30173036A
M45/-10/20131121110706000,M45,10,80,descending,80,88,2013-11-21,1695OEI,68352906B
M40/+33/20150812010531000,M40,33,80,ascending,80,89,2015-08-12,4366UII,34791409E
M50/-18/20160123190850000,M50,18,100,descending,100,104,2016-01-23,6668OOO,54016383D
A4/-96/20150630111515000,A4,96,100,descending,100,106,2015-06-30,8140AOE,76202995Q
A3/-94/20140311191444000,A3,94,100,descending,100,100,2014-03-11,3949IOE,65289655S
M40/+51/20140213080252000,M40,51,80,ascending,80,98,2014-02-13,6493OEA,65572592Y
A5/+117/20140403210238000,A5,117,100,ascending,100,86,2014-04-03,7493AUE,50774649X
A2/+275/20141012162027000,A2,275,100,ascending,100,118,2014-10-12,1717III,65572592Y
A5/-100/20131008110603000,A5,100,100,descending,100,100,2013-10-08,4366UII,34791409E
A4/-285/20131105075343000,A4,285,100,descending,100,108,2013-11-05,6292EIA,47285810H
A1/+154/20150313212446000,A1,154,100,ascending,100,111,2015-03-13,2970EUI,07836519M
M40/+23/20131007232325000,M40,23,80,ascending,80,84,2013-10-07,9519IEI,35044021W
A4/-203/20140801043500000,A4,203,100,descending,100,107,2014-08-01,6306III,56193398M
A5/-100/20140306041337000,A5,100,100,descending,100,103,2014-03-06,9519IEI,35044021W
A3/-94/20151216125328000,A3,94,100,descending,100,90,2015-12-16,3434AOI,76113108J
A1/+218/20130117125549000,A1,218,100,ascending,100,157,2013-01-17,9519IEI,35044021W
M45/-29/20130726033138000,M45,29,80,descending,80,93,2013-07-26,8448OEU,56760451Q
M30/-16/20121005051136000,M30,16,50,descending,50,61,2012-10-05,4166UOU,35235590G
A5/-271/20131227030733000,A5,271,100,descending,100,120,2013-12-27,5329UEU,75584686Q
M45/+19/20120421072632000,M45,19,80,ascending,80,94,2012-04-21,4280EUI,85549822B
A5/+236/20111216191727000,A5,236,100,ascending,100,119,2011-12-16,3195EOU,60908146Y
A2/+58/20131225115301000,A2,58,100,ascending,100,113,2013-12-25,7789UAO,98595100B
A4/+199/20130916021519000,A4,199,100,ascending,100,112,2013-09-16,0935IOA,33972967N
A4/+54/20131122174310000,A4,54,100,ascending,100,107,2013-11-22,4166UOU,35235590G
A5/+236/20120704142139000,A5,236,100,ascending,100,116,2012-07-04,2639AAA,55533072D
A5/-100/20120626212759000,A5,100,100,descending,100,111,2012-06-26,7196EOI,60735038L
M40/+33/20101214144000000,M40,33,80,ascending,80,84,2010-12-14,7789UAO,98595100B
M30/+10/20090706171935000,M30,10,50,ascending,50,66,2009-07-06,4334OUU,31411702G
M50/+75/20111029131711000,M50,75,100,ascending,100,118,2011-10-29,3722EAE,37794073J
A3/-92/20110824054954000,A3,92,100,descending,100,91,2011-08-24,7493AUE,50774649X
A6/+237/20100207212117000,A6,237,100,ascending,100,119,2010-02-07,5137IUO,78455829T
A1/-271/20110307110706000,A1,271,100,descending,100,110,2011-03-07,2539EOE,12519376Q
A4/+50/20110804071703000,A4,50,100,ascending,100,93,2011-08-04,4702OIA,73010468G
A6/-11/20110715124154000,A6,11,100,descending,100,127,2011-07-15,1536UII,74086301N
M30/+10/20100225065639000,M30,10,50,ascending,50,62,2010-02-25,5823AEO,47614918L
A2/+58/20120114214314000,A2,58,100,ascending,100,112,2012-01-14,1810AUI,51468998N
M40/+28/20110820045632000,M40,28,80,ascending,80,94,2011-08-20,5806EUE,48192930H
A6/-213/20090615232504000,A6,213,100,descending,100,123,2009-06-15,0772EOE,31414734T
M30/+11/20091001000836000,M30,11,50,ascending,50,61,2009-10-01,6111IAI,70809340E
A5/+268/20110410021454000,A5,268,100,ascending,100,113,2011-04-10,2370AOA,74026572Z
M40/+30/20100917190701000,M40,30,80,ascending,80,96,2010-09-17,7372AEU,73520242Y
M45/-28/20100531060314000,M45,28,80,descending,80,99,2010-05-31,5991OAE,58576842M
A6/-198/20100919054202000,A6,198,100,descending,100,118,2010-09-19,1072IOA,47591599E
A4/+132/20101009122029000,A4,132,100,ascending,100,118,2010-10-09,1480EUA,17817924P
A4/-277/20091112151843000,A4,277,100,descending,100,120,2009-11-12,7196EOI,60735038L
A6/+38/20091010094742000,A6,38,100,ascending,100,119,2009-10-10,6493OEA,65572592Y
M30/-21/20100807030420000,M30,21,50,descending,50,60,2010-08-07,2452UEO,65393209T
A3/+17/20100118135029000,A3,17,100,ascending,100,112,2010-01-18,1369OAU,31414734T
A2/+45/20091224113808000,A2,45,100,ascending,100,110,2009-12-24,4366UII,34791409E
A4/+199/20090606053533000,A4,199,100,ascending,100,113,2009-06-06,6880OUO,77467632K
A1/+242/20101122203924000,A1,242,100,ascending,100,101,2010-11-22,4334OUU,31411702G
A4/-147/20090910163813000,A4,147,100,descending,100,120,2009-09-10,5329UEU,75584686Q
A1/-160/20090923160553000,A1,160,100,descending,100,163,2009-09-23,9237OAU,46392720H
A3/-127/20111108133435000,A3,127,100,descending,100,118,2011-11-08,5526UOU,42038947F
A3/+49/20100522043940000,A3,49,100,ascending,100,120,2010-05-22,4309OEE,88024283V
M45/-29/20100123152754000,M45,29,80,descending,80,142,2010-01-23,7981IOE,20304333W
A1/+76/20101209142354270,A1,76,100,ascending,100,115,2010-12-09,9117UEE,98595100B
A4/+260/20111221145552330,A4,260,100,ascending,100,107,2011-12-21,7283OOE,99181271G
M40/+51/20101125231806000,M40,51,80,ascending,80,83,2010-11-25,4734UAO,59070682N
A1/-271/20091125060516500,A1,271,100,descending,100,101,2009-11-25,3283IAA,22674835D
A3/-127/20100319122618630,A3,127,100,descending,100,119,2010-03-19,9063AOI,48272209Q
A2/+48/20101108191610920,A2,48,100,ascending,100,112,2010-11-08,9534OIE,70106310X
A3/+241/20090603102527310,A3,241,100,ascending,100,80,2009-06-03,7250EOE,65151191B
A2/+13/20110502141154520,A2,13,100,ascending,100,120,2011-05-02,4450AAE,45191051F
A4/+91/20100914021943020,A4,91,100,ascending,100,94,2010-09-14,5023EII,92366576W
M30/-25/20111029175500050,M30,25,50,descending,50,46,2011-10-29,8953EIU,32197349V
A4/+260/20110909213006060,A4,260,100,ascending,100,98,2011-09-09,2452UEO,65393209T
A1/-160/20110217022945780,A1,160,100,descending,100,90,2011-02-17,6818EAU,67245027L
A5/-54/20090809170918390,A5,54,100,descending,100,102,2009-08-09,4785UUA,36259246E
A1/+217/20101102010044930,A1,217,100,ascending,100,151,2010-11-02,7789UAO,98595100B
A2/+75/20090708051910460,A2,75,100,ascending,100,113,2009-07-08,3929OOO,58444159D
A5/+236/20090923172027330,A5,236,100,ascending,100,95,2009-09-23,4544UOU,75939906R
A3/+155/20091015005233730,A3,155,100,ascending,100,99,2009-10-15,7372OEI,42349732Q
M40/-43/20090529004010600,M40,43,80,descending,80,83,2009-05-29,0583EAA,58793740J
M30/-16/20091215170558600,M30,16,50,descending,50,53,2009-12-15,3283IAA,22674835D
A6/-108/20100607112119340,A6,108,100,descending,100,140,2010-06-07,7835UUA,54146779H
M50/+75/20110812101229640,M50,75,100,ascending,100,97,2011-08-12,0431UIE,75109144E
A1/-268/20080127165744000,A1,268,100,descending,100,116,2008-01-27,7493AUE,50774649X
M50/+11/20081223014201000,M50,11,100,ascending,100,115,2008-12-23,2970EUI,07836519M
M45/+19/20100205111307000,M45,19,80,ascending,80,114,2010-02-05,5863AII,31970465M
M50/-58/20170827222352590,M50,58,100,descending,100,125,2017-08-27,5502UIE,58444159D
A1/+217/20171002200511490,A1,217,100,ascending,100,125,2017-10-02,3219AEO,82883718K
A2/+75/20171020142953320,A2,75,100,ascending,100,110,2017-10-20,2539EOE,12519376Q
A5/-211/20081122193048000,A5,211,100,descending,100,162,2008-11-22,1306OEE,06729275G
A2/-242/20080519005253000,A2,242,100,descending,100,110,2008-05-19,1306OEE,06729275G
M30/+10/20120405205654000,M30,10,50,ascending,50,45,2012-04-05,4734UAO,59070682N
M40/+51/20110620033946000,M40,51,80,ascending,80,112,2011-06-20,5329UEU,75584686Q
M45/+19/20110729124336000,M45,19,80,ascending,80,90,2011-07-29,2370AOA,74026572Z
M50/-58/20120504102741000,M50,58,100,descending,100,107,2012-05-04,9534OIE,70106310X
M40/+16/20131031161802000,M40,16,80,ascending,80,96,2013-10-31,9707OOI,12035677F
A3/+49/20120503175658000,A3,49,100,ascending,100,119,2012-05-03,5526UOU,42038947F
A4/+132/20170702123745000,A4,132,100,ascending,100,119,2017-07-02,6734OUU,81207757R
M40/-15/20170621142051000,M40,15,80,descending,80,94,2017-06-21,2955AUA,63050842E
M40/+28/20160809000415000,M40,28,80,ascending,80,96,2016-08-09,6511IUE,36259246E
M50/+15/20170522013802000,M50,15,100,ascending,100,116,2017-05-22,9733UAO,81904772R
A5/-54/20160131221610000,A5,54,100,descending,100,120,2016-01-31,4519AIU,46197994X
M40/+33/20150831224732000,M40,33,80,ascending,80,70,2015-08-31,4450AAE,45191051F
M45/-26/20160421214453000,M45,26,80,descending,80,90,2016-04-21,1117IAU,25913468N
A5/-271/20110612182726000,A5,271,100,descending,100,90,2011-06-12,7757IAI,41938714P
A1/-298/20091206141757000,A1,298,100,descending,100,110,2009-12-06,5119EUA,80771305C
M30/+32/20100913150727000,M30,32,50,ascending,50,48,2010-09-13,0431UIE,75109144E
A4/-96/20100222194844000,A4,96,100,descending,100,100,2010-02-22,2950AAO,58161619R
M45/-29/20090518083744000,M45,29,80,descending,80,105,2009-05-18,5154AEO,84218087E
M50/-80/20110112050534000,M50,80,100,descending,100,119,2011-01-12,6306III,56193398M
A5/+249/20111017152343000,A5,249,100,ascending,100,110,2011-10-17,2452UEO,65393209T
M30/+11/20090823083520000,M30,11,50,ascending,50,63,2009-08-23,4483AIO,26322160V
M40/-15/20100225074548000,M40,15,80,descending,80,98,2010-02-25,7789UAO,98595100B
M40/-55/20140323071302000,M40,55,80,descending,80,94,2014-03-23,5023EII,92366576W
A1/+162/20151202174550000,A1,162,100,ascending,100,116,2015-12-02,9733UAO,81904772R
A3/+49/20141217031317000,A3,49,100,ascending,100,116,2014-12-17,7608OAU,94229966R
M45/+26/20140131070239000,M45,26,80,ascending,80,92,2014-01-31,0566EAU,65289655S
A4/-270/20131018143456000,A4,270,100,descending,100,120,2013-10-18,6206EOU,49078455C
M40/-55/20140402194457000,M40,55,80,descending,80,95,2014-04-02,7376AEU,47718268F
A3/-244/20151120062323000,A3,244,100,descending,100,111,2015-11-20,4481IEE,47285810H
A6/-244/20131106185350000,A6,244,100,descending,100,111,2013-11-06,1295IIA,64997574B
M30/+11/20150212125547000,M30,11,50,ascending,50,65,2015-02-12,8775UUI,50091888G
A1/+217/20151208024546000,A1,217,100,ascending,100,107,2015-12-08,1556IAI,87767956W
