matricula,bastidor,marca,modelo,potencia,color,fecha_matriculacion,titular
7405UIU,III22374O22741845,Fork,Tetrox,1400,negro metalizado,2005-04-20,92453827Z
1650OEI,IIO89523O51788723,Seta,Nizcalo,1400,amarillo metalizado,2005-12-25,14502021S
7103OIU,QQQ37135O37606875,Seta,Champi,1400,negro,2007-03-16,45191051F
4734UAO,OOO13459O42950976,Peuyo,Entero,1400,blanco metalizado,2008-03-22,59070682N
1717III,OIQ18415I29121885,Merche,Estadio,1400,negro,2002-05-24,11810752E
7494UEU,OIQ99703O13452404,Zitron,Tangerine,1400,negro,2007-12-23,33585461X
0431UIE,IIQ52468Q79487215,Fork,Escolta,1400,azul metalizado,2003-10-29,90553454Q
6880OUO,IQO77837Q26091208,Merche,Rod-star,1400,dorado,2004-09-14,77467632K
3204OUA,IIO59720Q16009469,Peuyo,Real,1400,rojo,2002-08-01,18258713W
8140AOE,IOQ28379I74581401,Rinaul,Manante,1600,plateado metalizado,2008-08-08,76202995Q
1130IOA,IIO69347I42240129,Merche,Estadio,1400,dorado,2004-05-04,39707566K
0772EOE,IIO82672O31795676,Merche,Estadio,1400,azul,2008-03-14,79172538Y
9105UIU,IIQ54724I78886023,Merche,Berlin,1400,plateado,2002-03-11,53832275Q
1131AOO,QIQ56777I40016298,Merche,Rod-star,1400,plateado,2004-04-28,83880461J
7372AEU,IIQ28512I42783932,Peuyo,Real,1400,blanco,2002-03-05,20147685F
7283OOE,OII87486Q10383606,Seta,Champi,1400,gris metalizado,2008-12-18,08375827D
7493AUE,QOQ56969I58631310,Seta,Cardus,1400,blanco metalizado,2004-06-19,24230709W
5944EOE,QQO34155Q14848497,Escola,Seconda,1400,plateado metalizado,2004-06-25,22117400W
5303EIO,OOO29790O68615290,Rinaul,Fuente,1400,azul metalizado,2007-07-21,21582390H
5863AII,QOQ51133I97411888,Bemev,Cuple,1400,blanco metalizado,2007-05-21,31970465M
7196EOI,OQI56121Q28442356,Peuyo,Entero,1400,azul metalizado,2008-04-23,49806223E
0728IOU,OIQ42514I41248866,Fork,Tridente,1600,plateado,2004-03-02,72487325L
1717III,OIQ18415I29121885,Merche,Estadio,1400,negro,2002-05-24,11810752E
7163UUU,OQI17265I29242525,Escola,Cuartus,1400,gris,2005-12-21,84916986C
7376AEU,OIO46697I92693441,Escola,Primus,1400,beige,2002-09-04,47718268F
2458AEU,III79828Q75128034,Peuyo,Natural,1400,naranja metalizado,2004-04-14,40915263B
6829IOA,IQO26325O33999656,Rinaul,Charco,1400,dorado,2002-06-26,67455235F
1497IUA,IQO21503O84888857,Fork,Bipua,1400,plateado metalizado,2003-04-18,48906593Z
2543OUU,IOQ86262Q94000006,Peuyo,Entero,1400,negro metalizado,2007-10-22,05511330R
6111IAI,QIO78629I56366773,Rinaul,Fuente,1400,dorado,2004-10-25,70809340E
5806EUE,OIO29513O97558686,Peuyo,Real,1400,plateado,2002-04-21,48192930H
4450AAE,IIO61033Q38692681,Merche,Berlin,1400,rojo,2004-02-29,79763740Q
1117IAU,QQI39749I21129051,Fork,Escolta,1400,pardo,2003-03-19,25913468N
6317EUO,OOO08870Q45492075,Bemev,Berlin,1400,azul metalizado,2008-07-15,01707914A
1103EEA,OQI59778Q33920532,Rinaul,Charco,1400,blanco,2006-04-20,07471244Q
1717III,OIQ18415I29121885,Merche,Estadio,1400,negro,2002-05-24,11810752E
3422AEU,OOQ73291O11537888,Escola,Cuartus,1400,azul,2008-07-10,48906593Z
1295IIA,IQO99022O12874558,Escola,Tercius,1400,blanco,2006-08-30,64997574B
5526UOU,QQQ59015Q45441488,Rinaul,Manante,1600,plateado,2005-02-22,42038947F
8111EAA,QII98756O94565461,Zitron,Grapef,1400,blanco metalizado,2004-07-17,02055702P
9855AIE,OQQ78585Q47198752,Rinaul,Fuente,1400,blanco,2005-01-03,36071957E
6206EOU,OOQ49596O98630251,Escola,Tercius,1400,dorado metalizado,2006-05-06,77045444K
9519OEE,QQQ42530Q26501403,Escola,Tercius,1400,rojo metalizado,2004-10-31,73520242Y
3647AEO,OII62361I96849972,Bemev,K-brio,1400,rojo metalizado,2002-12-29,31414734T
1536UII,OIQ52049Q13574249,Bemev,Berlin,1400,rojo metalizado,2003-11-27,74086301N
9861AUO,OIQ07264O18727308,Zitron,Tangerine,1400,rojo,2008-07-19,76150280V
6882IUI,IQQ37428O29626828,Bemev,Berlin,1400,negro metalizado,2002-07-24,29525918J
1556IAI,OQO13273I17779000,Bemev,Suv-X,1400,verde metalizado,2003-11-29,87767956W
6560AII,QOQ66177Q22578835,Fork,Tetrox,1400,blanco,2006-11-02,78135349W
1695OEI,QOI95480Q87654551,Seta,Amanita,1400,dorado metalizado,2004-09-25,68352906B
8953EIU,IOI57860Q46262066,Rinaul,Fuente,1400,blanco metalizado,2007-01-14,00015430C
5408EII,OQI93306Q71422991,Peuyo,Natural,1400,negro,2006-01-05,60908146Y
9038OUI,IOQ49960I40461517,Rinaul,Fuente,1400,rojo metalizado,2003-01-20,63763779M
9959UOU,OOI52346O55505969,Escola,Primus,1400,violeta,2005-09-08,49078455C
8686IUU,OQO43241Q19559486,Fork,Tetrox,1400,dorado,2002-08-31,95875344M
9959UOU,OOI52346O55505969,Escola,Primus,1400,violeta,2005-09-08,49078455C
6668OOO,OQO05288I91243621,Fork,Tetrox,1400,azul,2008-05-22,54016383D
5862IOU,IOQ24526I72268006,Rinaul,Fuente,1400,azul metalizado,2008-12-11,78455829T
0935IOA,QQQ12857O79355025,Bemev,Berlin,1400,azul metalizado,2006-12-08,02055702P
6817EUA,QIO64657Q85401698,Seta,Cardus,1400,rojo,2002-03-10,86515357Y
6111IAI,QIO78629I56366773,Rinaul,Fuente,1400,dorado,2004-10-25,70809340E
7696UOA,OOI78032I91035606,Peuyo,Real,1400,gris metalizado,2007-03-09,46197994X
1131AOO,QIQ56777I40016298,Merche,Rod-star,1400,plateado,2004-04-28,83880461J
0946UOU,QQQ51788O54643145,Rinaul,Fuente,1400,fucsia metalizado,2002-05-07,62526264M
9855AIE,OQQ78585Q47198752,Rinaul,Fuente,1400,blanco,2005-01-03,36071957E
2698UEA,QQQ84318Q58168521,Seta,Amanita,1400,blanco metalizado,2004-12-22,29480068W
0619IEO,OQO87369I86192820,Zitron,Orange,1400,blanco metalizado,2008-02-29,82883718K
6797EIU,IOQ09038O61986932,Bemev,Suv-X,1400,blanco metalizado,2006-11-13,79278865G
5290OEU,QOI04128Q21332551,Bemev,Suv-X,1400,azul metalizado,2005-06-07,36737468M
3667IIE,QIO83777I33238686,Seta,Nizcalo,1400,blanco metalizado,2002-07-23,18612682R
7494UEU,OIQ99703O13452404,Zitron,Tangerine,1400,negro,2007-12-23,33585461X
9200IIA,QIO98366Q19140741,Escola,Primus,1400,rojo metalizado,2006-12-29,56475918Q
5944EOE,QQO34155Q14848497,Escola,Seconda,1400,plateado metalizado,2004-06-25,22117400W
2452UEO,IOO31585Q93414655,Fork,Bipua,1400,verde metalizado,2005-01-21,65393209T
6525AEI,OIO64678O93280477,Zitron,Lemmon,1400,azul,2004-03-30,87980168Q
3422AEU,OOQ73291O11537888,Escola,Cuartus,1400,azul,2008-07-10,48906593Z
6206EOU,OOQ49596O98630251,Escola,Tercius,1400,dorado metalizado,2006-05-06,77045444K
0772EOE,IIO82672O31795676,Merche,Estadio,1400,azul,2008-03-14,79172538Y
8140AOE,IOQ28379I74581401,Rinaul,Manante,1600,plateado metalizado,2008-08-08,76202995Q
7608OAU,QOQ57086Q22530925,Bemev,Suv-X,1400,blanco,2007-03-23,80738207L
1810AUI,IQQ47432O50328258,Escola,Cuartus,1400,dorado,2007-09-03,51468998N
9683IIA,QIO70654Q63199844,Zitron,Tangerine,1400,verde,2003-09-11,47285810H
1131AOO,QIQ56777I40016298,Merche,Rod-star,1400,plateado,2004-04-28,83880461J
4366UII,QOQ46187I96941104,Escola,Seconda,1400,rojo metalizado,2002-08-20,34791409E
0473AEO,QQQ80529O31965117,Escola,Seconda,1400,amarillo metalizado,2003-08-24,24230709W
8775UUI,IQI85899Q77755337,Peuyo,Real,1400,plateado metalizado,2008-04-05,19322800V
5119AUI,OOO75734O30167787,Rinaul,Fuente,1400,dorado metalizado,2007-08-14,19502956Z
8953EIU,IOI57860Q46262066,Rinaul,Fuente,1400,blanco metalizado,2007-01-14,00015430C
0098EUA,IIO57905I36451310,Peuyo,Real,1400,gris metalizado,2003-10-24,75969962L
7034IUI,III52427O80805860,Fork,Escolta,1400,gris,2004-07-24,31414734T
7608OAU,QOQ57086Q22530925,Bemev,Suv-X,1400,blanco,2007-03-23,80738207L
0609OUU,QQI81621Q14193903,Escola,Tercius,1400,beige,2006-01-23,00528326Q
7405UIU,III22374O22741845,Fork,Tetrox,1400,negro metalizado,2005-04-20,92453827Z
5938AOI,QII73641I58296691,Seta,Champi,1400,gris,2005-02-28,82883718K
0619IEO,OQO87369I86192820,Zitron,Orange,1400,blanco metalizado,2008-02-29,82883718K
7757IAI,QOQ15743I93680654,Escola,Primus,1400,azul metalizado,2006-06-01,41938714P
3647AEO,OII62361I96849972,Bemev,K-brio,1400,rojo metalizado,2002-12-29,31414734T
0504IUE,QIQ58505I97074027,Bemev,K-brio,1400,plateado,2006-06-15,65572592Y
0062OEA,IOI81674Q57617232,Merche,Tourne,1400,purpura metalizado,2006-02-13,77684051X
9200IIA,QIO98366Q19140741,Escola,Primus,1400,rojo metalizado,2006-12-29,56475918Q
5755OII,IIQ35613Q80838533,Rinaul,Charco,1400,plateado,2004-08-11,33344237X
7375OAI,OII41365Q48430005,Zitron,Grapef,1400,naranja,2007-05-15,48272209Q
6882IUI,IQQ37428O29626828,Bemev,Berlin,1400,negro metalizado,2002-07-24,29525918J
9519IEI,OIO13264I31209486,Bemev,Suv-X,1400,gris,2008-08-31,61353152P
5502UIE,QOO52534Q98854002,Rinaul,Fuente,1400,gris metalizado,2002-10-05,41983923E
6797EIU,IOQ09038O61986932,Bemev,Suv-X,1400,blanco metalizado,2006-11-13,79278865G
7283OOE,OII87486Q10383606,Seta,Champi,1400,gris metalizado,2008-12-18,08375827D
9200IIA,QIO98366Q19140741,Escola,Primus,1400,rojo metalizado,2006-12-29,56475918Q
9959UOU,OOI52346O55505969,Escola,Primus,1400,violeta,2005-09-08,49078455C
2685IAA,OOQ24605O34557087,Zitron,Lemmon,1400,negro,2007-07-26,48272209Q
6464AIA,IOQ21595I38823799,Bemev,Cuple,1400,plateado metalizado,2004-08-27,80805990K
8140AOE,IOQ28379I74581401,Rinaul,Manante,1600,plateado metalizado,2008-08-08,76202995Q
3949IOE,QOO41512I34042027,Bemev,Cuple,1400,violeta metalizado,2006-07-12,33254360V
8173OAU,QQO37246O79118901,Merche,Tourne,1400,plateado,2005-09-08,67121154R
9454IIE,QOI00609O69203091,Rinaul,Arroyo,1600,beige metalizado,2002-11-21,76055771S
4519AIU,OQO12512I51315316,Zitron,Grapef,1400,azul metalizado,2002-04-18,44338136R
3346AOO,IOO08497O98670333,Fork,Escolta,1400,azul,2007-01-06,48906593Z
8140AOE,IOQ28379I74581401,Rinaul,Manante,1600,plateado metalizado,2008-08-08,76202995Q
6560AII,QOQ66177Q22578835,Fork,Tetrox,1400,blanco,2006-11-02,78135349W
9861AUO,OIQ07264O18727308,Zitron,Tangerine,1400,rojo,2008-07-19,76150280V
6320UOU,IQO90213Q86210207,Zitron,Tangerine,1400,negro metalizado,2004-02-24,87457684T
0383IOU,IOO77788O45452599,Bemev,Berlin,1400,negro,2009-01-13,00708677R
7405UIU,III22374O22741845,Fork,Tetrox,1400,negro metalizado,2005-04-20,92453827Z
1103EEA,OQI59778Q33920532,Rinaul,Charco,1400,blanco,2006-04-20,07471244Q
4366UII,QOQ46187I96941104,Escola,Seconda,1400,rojo metalizado,2002-08-20,34791409E
0716AUU,QQQ55757I44532899,Zitron,Orange,1400,plateado metalizado,2004-02-10,55133962H
7103OIU,QQQ37135O37606875,Seta,Champi,1400,negro,2007-03-16,45191051F
5740AUA,OQI20031Q26951497,Zitron,Grapef,1400,negro metalizado,2008-08-22,99181271G
1695OEI,QOI95480Q87654551,Seta,Amanita,1400,dorado metalizado,2004-09-25,68352906B
1131AOO,QIQ56777I40016298,Merche,Rod-star,1400,plateado,2004-04-28,83880461J
7696UOA,OOI78032I91035606,Peuyo,Real,1400,gris metalizado,2007-03-09,46197994X
7757IAI,QOQ15743I93680654,Escola,Primus,1400,azul metalizado,2006-06-01,41938714P
9507IIA,IQI93255O19695485,Rinaul,Fuente,1400,azul,2008-10-28,15742171M
3219AEO,OQQ35545I40773879,Peuyo,Entero,1400,marron metalizado,2006-02-14,51285523P
0718UUE,QIO53347Q60238367,Peuyo,Entero,1400,morado,2007-10-21,65897309D
7608OAU,QOQ57086Q22530925,Bemev,Suv-X,1400,blanco,2007-03-23,80738207L
2970EUI,IOQ43964Q26568383,Rinaul,Charco,1400,gris,2003-09-27,56651407S
6464AIA,IOQ21595I38823799,Bemev,Cuple,1400,plateado metalizado,2004-08-27,80805990K
6306III,IOQ24860Q49121860,Seta,Nizcalo,1400,marron,2004-03-10,56193398M
8448OEU,OIQ76334Q93420906,Bemev,Suv-X,1400,blanco metalizado,2004-04-15,58094111K
2339OOI,QOO24966O13530390,Bemev,Cuple,1400,violeta,2003-09-24,07595709M
5154AEO,QII88530O24374260,Escola,Seconda,1400,blanco,2008-01-27,84218087E
0609OUU,QQI81621Q14193903,Escola,Tercius,1400,beige,2006-01-23,00528326Q
7493AUE,QOQ56969I58631310,Seta,Cardus,1400,blanco metalizado,2004-06-19,24230709W
9105UIU,IIQ54724I78886023,Merche,Berlin,1400,plateado,2002-03-11,53832275Q
9105UIU,IIQ54724I78886023,Merche,Berlin,1400,plateado,2002-03-11,53832275Q
0431UIE,IIQ52468Q79487215,Fork,Escolta,1400,azul metalizado,2003-10-29,90553454Q
1480EUA,OIQ38099Q89711541,Seta,Cardus,1400,plateado metalizado,2002-07-16,17817924P
0342OEO,OQO75596O11597968,Bemev,Berlin,1400,blanco metalizado,2002-08-13,13982887Z
9507IIA,IQI93255O19695485,Rinaul,Fuente,1400,azul,2008-10-28,15742171M
1810AUI,IQQ47432O50328258,Escola,Cuartus,1400,dorado,2007-09-03,51468998N
6206EOU,OOQ49596O98630251,Escola,Tercius,1400,dorado metalizado,2006-05-06,77045444K
1306OEE,QQQ74826Q32942339,Bemev,Berlin,1400,negro,2002-05-11,06729275G
0946UOU,QQQ51788O54643145,Rinaul,Fuente,1400,fucsia metalizado,2002-05-07,62526264M
1405AOU,OII74095Q93576429,Rinaul,Charco,1400,plateado metalizado,2007-06-28,17017996C
5338IEI,OQQ78495O15486701,Bemev,Cuple,1400,rojo,2008-04-22,04906297Y
4978AUI,OOI32684O78064505,Merche,Estadio,1400,gris,2008-07-03,32457390C
6864AIU,OIO17179O13898532,Peuyo,Entero,1400,magenta,2007-07-31,55074832K
6880OUO,IQO77837Q26091208,Merche,Rod-star,1400,dorado,2004-09-14,77467632K
5502UIE,QOO52534Q98854002,Rinaul,Fuente,1400,gris metalizado,2002-10-05,41983923E
6118UAA,IOO86091I29232341,Rinaul,Charco,1400,fucsia,2007-05-20,74080979A
4481IEE,QQI08224Q96288743,Rinaul,Charco,1400,gris,2009-01-13,56651407S
8686IUU,OQO43241Q19559486,Fork,Tetrox,1400,dorado,2002-08-31,95875344M
1329EUA,IQQ36078O16593117,Zitron,Lemmon,1400,azul,2002-06-29,22649968M
7696UOA,OOI78032I91035606,Peuyo,Real,1400,gris metalizado,2007-03-09,46197994X
4483AIO,IOQ90947Q76497060,Merche,Berlin,1400,negro metalizado,2005-10-05,15742171M
1556IAI,OQO13273I17779000,Bemev,Suv-X,1400,verde metalizado,2003-11-29,87767956W
7376AEU,OIO46697I92693441,Escola,Primus,1400,beige,2002-09-04,47718268F
6306III,IOQ24860Q49121860,Seta,Nizcalo,1400,marron,2004-03-10,56193398M
1369IUA,QQI59839O69057952,Seta,Cardus,1400,rojo metalizado,2006-12-29,05511330R
4333EUU,QII89274I48876364,Zitron,Lemmon,1400,dorado metalizado,2006-08-10,72449035R
9117UEE,IIO43719Q17937207,Peuyo,Primo,1600,gris metalizado,2002-06-15,06769696Z
2512UAA,QQO89197I91405409,Fork,Escolta,1400,rojo metalizado,2002-09-28,22649968M
5999AAI,QQQ45174I70991065,Bemev,Cuple,1400,plateado,2009-01-27,78455829T
3451OIO,QIQ08887I88096187,Bemev,Cuple,1400,gris,2004-09-17,25840054Z
2970EUI,IOQ43964Q26568383,Rinaul,Charco,1400,gris,2003-09-27,56651407S
0383IOU,IOO77788O45452599,Bemev,Berlin,1400,negro,2009-01-13,00708677R
1103EEA,OQI59778Q33920532,Rinaul,Charco,1400,blanco,2006-04-20,07471244Q
8691OEI,IOO13600Q29523275,Zitron,Grapef,1400,blanco,2004-02-04,21371673G
9237OAU,IQO41194Q96493385,Bemev,Berlin,1400,dorado metalizado,2003-04-22,41983923E
0342OEO,OQO75596O11597968,Bemev,Berlin,1400,blanco metalizado,2002-08-13,13982887Z
3732IUO,OOO53618O28644895,Fork,Tetrox,1400,dorado metalizado,2005-09-26,43201383T
5526UOU,QQQ59015Q45441488,Rinaul,Manante,1600,plateado,2005-02-22,42038947F
3242OEU,QQO35627O39157157,Rinaul,Arroyo,1600,azul,2003-09-10,50219461L
6829IOA,IQO26325O33999656,Rinaul,Charco,1400,dorado,2002-06-26,67455235F
0716AUU,QQQ55757I44532899,Zitron,Orange,1400,plateado metalizado,2004-02-10,55133962H
6648AEO,QQQ12109I84067913,Seta,Nizcalo,1400,dorado,2007-07-02,40648481Y
4366UII,QOQ46187I96941104,Escola,Seconda,1400,rojo metalizado,2002-08-20,34791409E
1329EUA,IQQ36078O16593117,Zitron,Lemmon,1400,azul,2002-06-29,22649968M
8545AOA,IQO91996O63554286,Merche,Tourne,1400,blanco,2004-11-13,22764409K
8828OIA,IOI77370I57501874,Rinaul,Manante,1600,gris,2006-09-04,46104267P
2698UEA,QQQ84318Q58168521,Seta,Amanita,1400,blanco metalizado,2004-12-22,29480068W
9038OUI,IOQ49960I40461517,Rinaul,Fuente,1400,rojo metalizado,2003-01-20,63763779M
0619IEO,OQO87369I86192820,Zitron,Orange,1400,blanco metalizado,2008-02-29,82883718K
3242OEU,QQO35627O39157157,Rinaul,Arroyo,1600,azul,2003-09-10,50219461L
3422AEU,OOQ73291O11537888,Escola,Cuartus,1400,azul,2008-07-10,48906593Z
6864AIU,OIO17179O13898532,Peuyo,Entero,1400,magenta,2007-07-31,55074832K
9519IEI,OIO13264I31209486,Bemev,Suv-X,1400,gris,2008-08-31,61353152P
6095EAE,QOI73448I86621862,Escola,Primus,1400,blanco metalizado,2006-07-22,56651407S
1117IAU,QQI39749I21129051,Fork,Escolta,1400,pardo,2003-03-19,25913468N
5119EUA,QII24751Q68251165,Fork,Escolta,1400,aguamarina,2004-11-12,80771305C
3242OEU,QQO35627O39157157,Rinaul,Arroyo,1600,azul,2003-09-10,50219461L
7376AEU,OIO46697I92693441,Escola,Primus,1400,beige,2002-09-04,47718268F
9063AOI,QQO35197I53881067,Rinaul,Arroyo,1600,plateado,2007-11-25,22649968M
8177AAO,QQQ54489I47731029,Peuyo,Natural,1400,plateado,2004-01-16,73236340Q
9861AUO,OIQ07264O18727308,Zitron,Tangerine,1400,rojo,2008-07-19,76150280V
6317EUO,OOO08870Q45492075,Bemev,Berlin,1400,azul metalizado,2008-07-15,01707914A
8419EIE,OII11700O76761286,Rinaul,Fuente,1400,blanco,2008-10-29,30173036A
4483AIO,IOQ90947Q76497060,Merche,Berlin,1400,negro metalizado,2005-10-05,15742171M
5350OAE,IOO27981I23368324,Escola,Primus,1400,marfil,2003-11-17,56536795N
1810AUI,IQQ47432O50328258,Escola,Cuartus,1400,dorado,2007-09-03,51468998N
4481IEE,QQI08224Q96288743,Rinaul,Charco,1400,gris,2009-01-13,56651407S
5862IOU,IOQ24526I72268006,Rinaul,Fuente,1400,azul metalizado,2008-12-11,78455829T
0946UOU,QQQ51788O54643145,Rinaul,Fuente,1400,fucsia metalizado,2002-05-07,62526264M
1695OEI,QOI95480Q87654551,Seta,Amanita,1400,dorado metalizado,2004-09-25,68352906B
2261EOI,QQI82617I31229382,Peuyo,Entero,1400,negro metalizado,2003-04-01,31211842Z
8953EIU,IOI57860Q46262066,Rinaul,Fuente,1400,blanco metalizado,2007-01-14,00015430C
1117IAU,QQI39749I21129051,Fork,Escolta,1400,pardo,2003-03-19,25913468N
8668OEE,IOI75948I62251995,Seta,Nizcalo,1400,blanco,2004-12-25,21763956E
2970EUI,IOQ43964Q26568383,Rinaul,Charco,1400,gris,2003-09-27,56651407S
6734OUU,QQO09939I45954228,Rinaul,Manante,1600,blanco,2003-09-08,82883718K
3422AEU,OOQ73291O11537888,Escola,Cuartus,1400,azul,2008-07-10,48906593Z
1130IOA,IIO69347I42240129,Merche,Estadio,1400,dorado,2004-05-04,39707566K
2970EUI,IOQ43964Q26568383,Rinaul,Charco,1400,gris,2003-09-27,56651407S
0122IIA,IOI43577O13083899,Seta,Champi,1400,blanco metalizado,2003-01-18,55087522S
5863AII,QOQ51133I97411888,Bemev,Cuple,1400,blanco metalizado,2007-05-21,31970465M
4639AEE,QOQ93248I71172024,Merche,Rod-star,1400,blanco metalizado,2008-06-01,85463656A
4237EIO,IQQ95604Q39887649,Escola,Cuartus,1400,negro,2008-07-12,75939906R
5023EII,IOO78843O25987869,Merche,Estadio,1400,ocre,2007-08-30,80805990K
8668OEE,IOI75948I62251995,Seta,Nizcalo,1400,blanco,2004-12-25,21763956E
2539EOE,OII05576Q94589278,Fork,Escolta,1400,blanco metalizado,2005-01-25,12519376Q
1117IAU,QQI39749I21129051,Fork,Escolta,1400,pardo,2003-03-19,25913468N
3346AOO,IOO08497O98670333,Fork,Escolta,1400,azul,2007-01-06,48906593Z
7034IUI,III52427O80805860,Fork,Escolta,1400,gris,2004-07-24,31414734T
5828EEE,OQO06911I77628882,Bemev,Berlin,1400,plateado metalizado,2004-05-23,06415210G
5119AUI,OOO75734O30167787,Rinaul,Fuente,1400,dorado metalizado,2007-08-14,19502956Z
7372OEI,QOI14251O10944352,Fork,Escolta,1400,dorado,2003-10-20,42349732Q
6829IOA,IQO26325O33999656,Rinaul,Charco,1400,dorado,2002-06-26,67455235F
2339OOI,QOO24966O13530390,Bemev,Cuple,1400,violeta,2003-09-24,07595709M
6829IOA,IQO26325O33999656,Rinaul,Charco,1400,dorado,2002-06-26,67455235F
6464AIA,IOQ21595I38823799,Bemev,Cuple,1400,plateado metalizado,2004-08-27,80805990K
9117UEE,IIO43719Q17937207,Peuyo,Primo,1600,gris metalizado,2002-06-15,06769696Z
4741IOU,QQO55908Q93098386,Merche,Rod-star,1400,gris,2004-07-13,92453827Z
2370AOA,QOI80405O48038890,Escola,Cuartus,1400,cuarzo metalizado,2007-01-20,74026572Z
1306OEE,QQQ74826Q32942339,Bemev,Berlin,1400,negro,2002-05-11,06729275G
8419EIE,OII11700O76761286,Rinaul,Fuente,1400,blanco,2008-10-29,30173036A
0504IUE,QIQ58505I97074027,Bemev,K-brio,1400,plateado,2006-06-15,65572592Y
6734OUU,QQO09939I45954228,Rinaul,Manante,1600,blanco,2003-09-08,82883718K
2452UEO,IOO31585Q93414655,Fork,Bipua,1400,verde metalizado,2005-01-21,65393209T
0703OEU,IOQ29388I53520575,Seta,Cardus,1400,bermellon,2002-05-24,74864863R
0716AUU,QQQ55757I44532899,Zitron,Orange,1400,plateado metalizado,2004-02-10,55133962H
5700IIE,IIO89049Q80945510,Zitron,Orange,1400,marron,2006-02-28,15928484H
0431UIE,IIQ52468Q79487215,Fork,Escolta,1400,azul metalizado,2003-10-29,90553454Q
5806EUE,OIO29513O97558686,Peuyo,Real,1400,plateado,2002-04-21,48192930H
6061IUO,OQQ27182O80576969,Seta,Amanita,1400,magenta,2002-09-06,48272209Q
0718UUE,QIO53347Q60238367,Peuyo,Entero,1400,morado,2007-10-21,65897309D
3043OOI,IIO13807Q91952846,Merche,Tourne,1400,rojo,2002-03-11,80738207L
9445OEU,QQI04019I59214396,Zitron,Grapef,1400,plateado metalizado,2005-02-05,38423370F
9237OAU,IQO41194Q96493385,Bemev,Berlin,1400,dorado metalizado,2003-04-22,41983923E
2512UAA,QQO89197I91405409,Fork,Escolta,1400,rojo metalizado,2002-09-28,22649968M
0473AEO,QQQ80529O31965117,Escola,Seconda,1400,amarillo metalizado,2003-08-24,24230709W
3797UOE,OIO87306Q73515918,Seta,Champi,1400,plateado,2002-09-05,53018488S
2698UEA,QQQ84318Q58168521,Seta,Amanita,1400,blanco metalizado,2004-12-22,29480068W
7372OEI,QOI14251O10944352,Fork,Escolta,1400,dorado,2003-10-20,42349732Q
2512UAA,QQO89197I91405409,Fork,Escolta,1400,rojo metalizado,2002-09-28,22649968M
3451OIO,QIQ08887I88096187,Bemev,Cuple,1400,gris,2004-09-17,25840054Z
0583EAA,QII41544Q45043796,Peuyo,Real,1400,naranja,2004-06-21,49806223E
9959UOU,OOI52346O55505969,Escola,Primus,1400,violeta,2005-09-08,49078455C
2261EOI,QQI82617I31229382,Peuyo,Entero,1400,negro metalizado,2003-04-01,31211842Z
1556IAI,OQO13273I17779000,Bemev,Suv-X,1400,verde metalizado,2003-11-29,87767956W
7405UIU,III22374O22741845,Fork,Tetrox,1400,negro metalizado,2005-04-20,92453827Z
7103OIU,QQQ37135O37606875,Seta,Champi,1400,negro,2007-03-16,45191051F
5853OII,OIO85050Q74433787,Rinaul,Fuente,1400,violeta,2007-01-10,90553454Q
7103OIU,QQQ37135O37606875,Seta,Champi,1400,negro,2007-03-16,45191051F
1675EOA,IOO55253I81787069,Seta,Amanita,1400,marron metalizado,2003-05-26,79763740Q
1295IIA,IQO99022O12874558,Escola,Tercius,1400,blanco,2006-08-30,64997574B
0473AEO,QQQ80529O31965117,Escola,Seconda,1400,amarillo metalizado,2003-08-24,24230709W
0431UIE,IIQ52468Q79487215,Fork,Escolta,1400,azul metalizado,2003-10-29,90553454Q
0398EUI,OOO89942Q75868161,Rinaul,Charco,1400,blanco metalizado,2007-05-22,12028211Q
5938AOI,QII73641I58296691,Seta,Champi,1400,gris,2005-02-28,82883718K
3929OOO,QII67147Q67852783,Bemev,Cuple,1400,blanco,2008-12-02,58793740J
7163UUU,OQI17265I29242525,Escola,Cuartus,1400,gris,2005-12-21,84916986C
3204OUA,IIO59720Q16009469,Peuyo,Real,1400,rojo,2002-08-01,18258713W
6320UOU,IQO90213Q86210207,Zitron,Tangerine,1400,negro metalizado,2004-02-24,87457684T
4978AUI,OOI32684O78064505,Merche,Estadio,1400,gris,2008-07-03,32457390C
9445OEU,QQI04019I59214396,Zitron,Grapef,1400,plateado metalizado,2005-02-05,38423370F
3295IOE,OIQ00016Q31061188,Rinaul,Fuente,1400,anil metalizado,2007-06-25,30801878W
6817EUA,QIO64657Q85401698,Seta,Cardus,1400,rojo,2002-03-10,86515357Y
9336IIU,IIQ62942I24852157,Rinaul,Manante,1600,azul metalizado,2004-05-16,08375827D
7493AUE,QOQ56969I58631310,Seta,Cardus,1400,blanco metalizado,2004-06-19,24230709W
7493AUE,QOQ56969I58631310,Seta,Cardus,1400,blanco metalizado,2004-06-19,24230709W
5526UOU,QQQ59015Q45441488,Rinaul,Manante,1600,plateado,2005-02-22,42038947F
3295IOE,OIQ00016Q31061188,Rinaul,Fuente,1400,anil metalizado,2007-06-25,30801878W
3242OEU,QQO35627O39157157,Rinaul,Arroyo,1600,azul,2003-09-10,50219461L
8177AAO,QQQ54489I47731029,Peuyo,Natural,1400,plateado,2004-01-16,73236340Q
6464AIA,IOQ21595I38823799,Bemev,Cuple,1400,plateado metalizado,2004-08-27,80805990K
