dni,nombre,apellido1,apellido2,direccion,localidad,email,telefono,fecha_nacimiento
65151191B,Marta,Parra,Palao,"Plaza San Nicolas, N 191, 63580",Villaverde del Jamon,Marti@servcorreo.uctreseme.edu,555482634,1975-02-19
79763740Q,Damian,Lomer,Cangalaya,"Avenida del Zoco Chico, N 198, 13646",Sotochimeneas,,,1965-01-17
50091888G,Josefa,Ruiz,Perez,"Travesia del Terciopelo, N 200, 32332",Paramo de la Torre,RPerez@servcorreo.uctreseme.edu,,1992-08-12
07595709M,Alfredo,Aldabe,Wong,"Travesia San Millan, N 143, 64865",Valbajo de las Tripas,AAldabe@servcorreo.uctreseme.edu,555235801,1970-03-03
85463656A,Luis,Bolanos,Cucho,"Paseo Cesteros, N 146, 13735",Villasombras de la Torre,,555319986,1947-10-07
88024283V,Carla,Tellez,Cancino,"Calle del Puente, N 106, 79286",Villasolana,Maja@servcorreo.uctreseme.edu,555888225,1941-07-04
59070682N,Bernabe,Milla,Mora,"Plaza de la Lana, N 105, 41558",Sototejas de Abajo,Berni@servcorreo.uctreseme.edu,555748374,1948-08-26
83880461J,Maria del Rocio,Burgos,Martinez,"Plaza Chesterton, N 9, 55748",Canchales del Secano,Tupenda@servcorreo.uctreseme.edu,555724101,1957-07-10
11148859T,Olivia,Cantaro,Torres,"Calle de las Carretas, N 120, 94259",Valcastillos,,,1993-04-18
19425545K,Jacobo,Cieza,Copa,"Paseo del Puente, N 97, 74888",Prados de San Guijuelo,Jaci@servcorreo.uctreseme.edu,555198578,1965-08-02
02626808R,angel,Bellido,Pedreros,"Avenida Quevedo, N 92, 20777",Sotocastillos,angi@servcorreo.uctreseme.edu,555516705,1970-07-29
06769696Z,Aldegunda,Navarro,Perez,"Plaza San Esteban, N 149, 59013",Villagris,,,1969-06-20
45568849F,Rosalina,Monasca,Jurado,"Travesia Alejandro Dumas, N 186, 99845",Valguijarros del Cocido,Risitas@servcorreo.uctreseme.edu,555022773,1981-02-03
75109144E,Fidel,Leon,Mantari,"Travesia Santo Tomas, N 161, 26948",Villacastillos,Fidi@servcorreo.uctreseme.edu,,1957-07-18
73429060L,Kaled,Flores,Loyola,"Travesia de los Pensamientos, N 46, 87128",Valchimeneas,Kaled@servcorreo.uctreseme.edu,555648887,1948-08-17
63763779M,Carlos,Huertas,Levano,"Paseo de la Bayeta, N 83, 76775",Sotojamones del Nabar,Huerti@servcorreo.uctreseme.edu,555756828,1958-06-03
68352906B,Maria de la Prudencia,Amancio,Faucet,"Paseo de los Tulipanes, N 97, 28617",Valsombras del Canto Rodao,,555895428,1958-04-16
74868992J,Gabriel,Sanchez,Villavicencio,"Travesia del Zoco Chico, N 49, 34825",Prados del Bosque,SVillavicencio@servcorreo.uctreseme.edu,,1976-05-26
53018488S,Felipe,Torres,Garcia,"Travesia de los Nardos, N 16, 45996",Valtejas,,,1968-03-25
36737468M,Amaia,Ferro,Bobadilla,"Paseo de la Dalia, N 160, 85027",Valsequillo,Pira@servcorreo.uctreseme.edu,555779088,1980-11-30
91988623P,Rosario,Salcedo,Narvajo,"Paseo del Pinar, N 172, 48440",Valfrios,Narvi@servcorreo.uctreseme.edu,,1950-09-11
32197349V,Maria Eulalia,Lipa,Carranza,"Paseo de las Carretas, N 52, 41517",Valseca del Viento,,555584502,1943-12-18
00015430C,Isaac,Canales,Jimenez,"Plaza San Martin, N 58, 25689",Otero del Bosque,ICanales@servcorreo.uctreseme.edu,,1952-02-17
60436163Y,Jole,Bernedo,Encarnacion,"Plaza Hidalgos, N 189, 22212",Tabanera del Lago,,555073232,1986-01-03
42038947F,Ignacio Manuel,Rodriguez,Martinez,"Travesia del Canal, N 11, 44657",Villasetas del Rio,,555018490,1977-06-11
85549822B,Jillian,Izquierdo,Solis,"Paseo de los alamos, N 144, 15766",Prados del Nabar,Jillina@servcorreo.uctreseme.edu,555241288,1939-05-22
87767956W,Tino,Buitron,Mora,"Paseo Perez-Reverte, N 83, 87010",Sotosequillo de los Caballeros,TBuitron@servcorreo.uctreseme.edu,555046151,1981-02-09
80498155H,Violeta,Belleza,Suarez,"Calle Pescadores, N 75, 24962",Villasequillo de la Costa,Pecosa@servcorreo.uctreseme.edu,555059016,1986-04-08
43287231N,Ricardo,Poma,Morriberon,"Travesia del Pinar, N 79, 29926",Valtejas de los Sequillos,Morriberon@servcorreo.uctreseme.edu,555958354,1951-03-17
48192930H,Maria de la Fuencisla,Murrugarra,Regalado,"Travesia del Clavel, N 62, 37340",Ciudad de las Aguas,Regalado@servcorreo.uctreseme.edu,555210406,1961-03-24
21763956E,Bernaldo,Monzon,Aquino,"Avenida de los Toros, N 83, 53502",San Pedro de la Noceda,Buho@servcorreo.uctreseme.edu,555005069,1975-12-23
76150280V,Maria de la Prosperidad,Jimenez,Melendez,"Paseo San Cucufato, N 108, 12261",Villalemures de la Costa,Meli@servcorreo.uctreseme.edu,555806228,1941-08-08
76055771S,Estibaliz,Zavaleta,Gomez,"Travesia Asimov, N 7, 77859",Valnieblas de la Noceda,Gomi@servcorreo.uctreseme.edu,555063833,1994-05-19
74086301N,Francisca Ainhoa,Burgos,Rivero,"Paseo Miguel Delibes, N 88, 27253",Villaconejos de los Buhos,Rivero@servcorreo.uctreseme.edu,555321053,1952-06-24
00699099Z,Perancejo,Torres,Garate,"Calle San Cucufato, N 158, 43123",Villamodorros del Torreon,,555956249,1942-08-25
60260601A,Gerda,Bendezu,Vilca,"Plaza San Cucufato, N 75, 66926",Villavacas,,,1987-06-18
09611341D,Silvia Lidia,Martinez,Bonilla,"Calle Hidalgos, N 23, 64050",Villalluvias de los Viajeros,SLidia@servcorreo.uctreseme.edu,555425926,1946-10-17
13633650D,Jaime,Marca,Azcarate,"Calle San Juan de la Cruz, N 114, 93020",Villanieblas del Secano,Marca@servcorreo.uctreseme.edu,555744036,1966-01-17
97045896H,Felipe,Sanroman,Garcia,"Plaza de la Dalia, N 49, 88697",Huertas de San Guijuelo,Finit@servcorreo.uctreseme.edu,,1944-09-27
22764409K,Pascual,Mego,Gomez,"Paseo de los Tulipanes, N 98, 65387",Praderas de las Setas,Pasci@servcorreo.uctreseme.edu,555429855,1994-10-28
12519376Q,Eva Jimena,Rivera,Camarena,"Avenida San Juan de la Cruz, N 5, 57688",Monte del Vertedero,Jimi@servcorreo.uctreseme.edu,555074741,1939-10-24
31970465M,Marivi,Higa,Ibarra,"Travesia Real, N 112, 85027",Valsequillo,,555390700,1972-11-20
56938622Y,Maria de las Angustias,Clavijo,Jimenez,"Plaza Miguel Hernandez, N 78, 96511",Monte de Arriba,Jimenez@servcorreo.uctreseme.edu,,1994-01-26
88062522F,Fernando,Inga,San_Frutos,"Avenida de la Catedral, N 48, 19083",Villaarbustos,,555170600,1949-07-27
20533589V,Rosa Berta,Quinonez,Malca,"Travesia de los Pensamientos, N 12, 17684",Valpinares de los Trigos,Quinonez@servcorreo.uctreseme.edu,,1980-11-17
04295516J,Rosa Aranzazu,Olivas,Llap,"Calle San Jose, N 8, 44802",Villaguijarros de la Solana,,555403211,1985-01-12
33344237X,Rosa Olimpia,Hernandez,Navarro,"Avenida Estiradores, N 16, 88386",Villanieblas,Olimpika@servcorreo.uctreseme.edu,555074075,1979-03-23
25073532J,Barbara,Laque,Hernandez,"Plaza Murillo, N 158, 66926",Villavacas,,555497149,1953-09-11
06729275G,Roque,Orellana,Lopez,"Avenida Quevedo, N 65, 40524",Villalluvias de la Arboleda,ROrellana@servcorreo.uctreseme.edu,,1984-05-01
67121154R,Maria de la Visitacion,Salas,Rivera,"Calle de los Pensamientos, N 95, 95927",Valtrigos de las Tripas,MRivera@servcorreo.uctreseme.edu,555586361,1947-10-29
72449035R,Oscar,Bazalar,Lopez,"Avenida de la Felicidad, N 142, 34894",Sotosolana de las Ardillas,Torpe@servcorreo.uctreseme.edu,555667542,1970-12-24
35235590G,Berno,Jimenez,Galarza,"Avenida Cazadores, N 10, 45996",Valtejas,Galarza@servcorreo.uctreseme.edu,,1952-11-24
74864863R,Rosa Judith,Montenegro,Bazalar,"Paseo Chesterton, N 85, 27031",Sotoguijarros de Enmedio,JBazalar@servcorreo.uctreseme.edu,,1973-05-28
42349732Q,Maria del Sol,Bazalar,Angulo,"Travesia Murillo, N 107, 48440",Valfrios,,,1962-02-06
31211842Z,Jose Felix,Garcia,Denegri,"Plaza de los Pensamientos, N 171, 49851",Prados del Robledal,,,1958-10-21
15957991Q,Maria de la Encarnacion,Lopez,Collantes,"Travesia Dali, N 140, 99300",Nava del Bosque,Colli@servcorreo.uctreseme.edu,555852195,1970-07-11
01362850P,Jose Jorge,Mogollon,Aldabe,"Paseo Cervantes, N 80, 98803",Villaenmedio de la Torre,,,1957-10-31
